primary_genre,movie_count,avg_rating,avg_runtime
Drama,11381,,105.09635560463832
Comedy,10963,18.0,96.73333975346688
Action,5284,,104.69430992736078
Documentary,4187,,87.23803396809058
Crime,2708,,100.98785117691723
Horror,2386,,90.9234851835471
Animation,1941,,64.5874931431706
Adventure,1827,,106.66913861950941
Biography,1232,,117.3969465648855
Short,664,,16.5248
Thriller,640,,98.68076923076923
Western,410,,95.57530864197531
nan,399,18.0,94.53068592057761
Family,388,,82.03592814371258
Mystery,327,,96.02272727272727
Sci-Fi,326,,93.16161616161617
Romance,286,,99.62857142857143
Fantasy,279,,93.16666666666667
Musical,163,,106.61538461538461
War,88,,104.54761904761905
Music,58,,97.54
History,38,,117.96875
Film-Noir,23,,83.30434782608695
Adult,10,,83.4
Sport,3,,108.5
Talk-Show,2,,193.0
News,1,,61.0
